UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
Q14116;IL18;Interleukin-18;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: esophagus, skin 1
O14625;CXCL11;C-X-C motif chemokine 11;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue
O43508;TNFSF12;Tumor necrosis factor ligand superfamily member 12;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Low tissue specificity
O95760;IL33;Interleukin-33;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: urinary bladder
P01133;EGF;Pro-epidermal growth factor;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Group enriched: kidney, pancreas, skeletal muscle
P01135;TGFA;Protransforming growth factor alpha;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Oncology II, Olink Target 48 Cytokine;Tissue enhanced: brain
P01579;IFNG;Interferon gamma;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Group enriched: bone marrow, lymphoid tissue
P02778;CXCL10;C-X-C motif chemokine 10;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue
P05112;IL4;Interleukin-4;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Not detected
P05113;IL5;Interleukin-5;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enhanced: brain, testis
P09341;CXCL1;Growth-regulated alpha protein;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: cervix, lymphoid tissue
P09603;CSF1;Macrophage colony-stimulating factor 1;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Low tissue specificity
P13232;IL7;Interleukin-7;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Low tissue specificity
P13236;CCL4;C-C motif chemokine 4;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: bone marrow
P21583;KITLG;Kit ligand;Olink Explore Cardiometabolic, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Oncology II;Low tissue specificity
P35225;IL13;Interleukin-13;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enriched: testis
P39900;MMP12;Macrophage metalloelastase;Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: intestine, lymphoid tissue, urinary bladder
P40933;IL15;Interleukin-15;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Neuro Exploratory, Olink Target 48 Cytokine;Low tissue specificity
P48061;CXCL12;Stromal cell-derived factor 1;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response, Olink Target 48 Cytokine;Low tissue specificity
P49763;PGF;Placenta growth factor;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage;Tissue enhanced: placenta, thyroid gland
P51671;CCL11;Eotaxin;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immune Response, Olink Target 48 Cytokine;Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder
P60568;IL2;Interleukin-2;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Not detected
P80075;CCL8;C-C motif chemokine 8;Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Low tissue specificity
P80098;CCL7;C-C motif chemokine 7;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enriched: bone marrow
Q07325;CXCL9;C-X-C motif chemokine 9;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enriched: lymphoid tissue
Q99616;CCL13;C-C motif chemokine 13;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enhanced: intestine, urinary bladder
Q99731;CCL19;C-C motif chemokine 19;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 48 Cytokine;Tissue enriched: lymphoid tissue
Q9NSA1;FGF21;Fibroblast growth factor 21;Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation;Tissue enriched: liver
O00182;LGALS9;Galectin-9;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: intestine, stomach 1
O00220;TNFRSF10A;Tumor necrosis factor receptor superfamily member 10A;Olink Explore Neurology, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation;Low tissue specificity
O00300;TNFRSF11B;Tumor necrosis factor receptor superfamily member 11B;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular III;Group enriched: kidney, thyroid gland
O15123;ANGPT2;Angiopoietin-2;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Metabolism;Tissue enhanced: brain
O43557;TNFSF14;Tumor necrosis factor ligand superfamily member 14;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enriched: liver
O43915;VEGFD;Vascular endothelial growth factor D;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation;Tissue enhanced: lung
O43927;CXCL13;C-X-C motif chemokine 13;Olink Explore Neurology, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue
O75144;ICOSLG;ICOS ligand;Olink Explore Oncology, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow, brain
O75354;ENTPD6;Ectonucleoside triphosphate diphosphohydrolase 6;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation, Olink Target 96 Organ Damage;Low tissue specificity
O75509;TNFRSF21;Tumor necrosis factor receptor superfamily member 21;Olink Explore Neurology, Olink Target 96 Neurology, Olink Target 96 Immuno-Oncology;Tissue enhanced: brain, urinary bladder
O76036;NCR1;Natural cytotoxicity triggering receptor 1;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
O95727;CRTAM;Cytotoxic and regulatory T-cell molecule;Olink Explore Neurology, Olink Target 96 Neurology, Olink Target 96 Immuno-Oncology;Tissue enriched: brain
P00749;PLAU;Urokinase-type plasminogen activator;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular III;Tissue enhanced: urinary bladder
P00813;ADA;Adenosine deaminase;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Group enriched: intestine, lymphoid tissue
P01127;PDGFB;Platelet-derived growth factor subunit B;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Low tissue specificity
P01137;TGFB1;Transforming growth factor beta-1 proprotein;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Low tissue specificity
P01138;NGF;Beta-nerve growth factor;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Neurology;Tissue enhanced: heart muscle, ovary
P01374;LTA;Lymphotoxin-alpha;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Group enriched: intestine, lymphoid tissue, testis
P01583;IL1A;Interleukin-1 alpha;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enhanced: esophagus, testis, urinary bladder
P01584;IL1B;Interleukin-1 beta;Olink Explore Inflammation, Olink Target 96 Oncology III, Olink Target 48 Cytokine;Tissue enhanced: bone marrow, urinary bladder
P01730;CD4;T-cell surface glycoprotein CD4;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: liver, lymphoid tissue, parathyroid gland
P01732;CD8A;T-cell surface glycoprotein CD8 alpha chain;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue
P03956;MMP1;Interstitial collagenase;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Tissue enhanced: gallbladder, stomach 1, urinary bladder
P05089;ARG1;Arginase-1;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Metabolism;Tissue enriched: liver
P05412;JUN;Transcription factor Jun;Olink Explore Inflammation, Olink Target 96 Immune Response, Olink Target 96 Cell Regulation;Low tissue specificity
P06127;CD5;T-cell surface glycoprotein CD5;Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P07585;DCN;Decorin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Low tissue specificity
P09038;FGF2;Fibroblast growth factor 2;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Low tissue specificity
P09237;MMP7;Matrilysin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: gallbladder, salivary gland, urinary bladder
P09382;LGALS1;Galectin-1;Olink Explore Cardiometabolic, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Low tissue specificity
P09601;HMOX1;Heme oxygenase 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue
P09919;CSF3;Granulocyte colony-stimulating factor;Olink Explore Inflammation, Olink Target 96 Neurology, Olink Target 48 Cytokine;Tissue enhanced: lung, urinary bladder
P10144;GZMB;Granzyme B;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow, lymphoid tissue
P10747;CD28;T-cell-specific surface glycoprotein CD28;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Group enriched: lymphoid tissue, placenta
P12544;GZMA;Granzyme A;Olink Explore Inflammation, Olink Target 96 Neurology, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P13725;OSM;Oncostatin-M;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Tissue enriched: bone marrow
P15514;AREG;Amphiregulin;Olink Explore Oncology, Olink Target 96 Oncology II, Olink Target 96 Immune Response;Tissue enhanced: bone marrow, placenta, urinary bladder
P18627;LAG3;Lymphocyte activation gene 3 protein;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue, ovary
P20718;GZMH;Granzyme H;Olink Explore Cardiometabolic, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow, lymphoid tissue
P21246;PTN;Pleiotrophin;Olink Explore Cardiometabolic, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage;Tissue enhanced: brain, parathyroid gland
P25942;CD40;Tumor necrosis factor receptor superfamily member 5;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Low tissue specificity
P26842;CD27;CD27 antigen;Olink Explore Oncology, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue
P29459;IL12A;Interleukin-12 subunit alpha;Olink Explore Oncology, Olink Target 96 Neurology, Olink Target 96 Immuno-Oncology;Tissue enhanced: esophagus
P29474;NOS3;Nitric oxide synthase, endothelial;Olink Explore Neurology, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue
P29965;CD40LG;CD40 ligand;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P32970;CD70;CD70 antigen;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P35968;KDR;Vascular endothelial growth factor receptor 2;Olink Explore Oncology, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Low tissue specificity
P39905;GDNF;Glial cell line-derived neurotrophic factor;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Neurology;Tissue enhanced: skeletal muscle
P42701;IL12RB1;Interleukin-12 receptor subunit beta-1;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
P42830;CXCL5;C-X-C motif chemokine 5;Olink Explore Cardiometabolic, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Group enriched: lymphoid tissue, salivary gland
P43489;TNFRSF4;Tumor necrosis factor receptor superfamily member 4;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P43629;KIR3DL1;Killer cell immunoglobulin-like receptor 3DL1;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue
P48023;FASLG;Tumor necrosis factor ligand superfamily member 6;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
P49771;FLT3LG;Fms-related tyrosine kinase 3 ligand;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Low tissue specificity
P55773;CCL23;C-C motif chemokine 23;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Low tissue specificity
P78380;OLR1;Oxidized low-density lipoprotein receptor 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 48 Cytokine;Tissue enhanced: lung, placenta
P78423;CX3CL1;Fractalkine;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enhanced: breast
P78556;CCL20;C-C motif chemokine 20;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Group enriched: gallbladder, lymphoid tissue, urinary bladder
Q01151;CD83;CD83 antigen;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enhanced: bone marrow
Q02763;TEK;Angiopoietin-1 receptor;Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: placenta
Q05516;ZBTB16;Zinc finger and BTB domain-containing protein 16;Olink Explore Oncology, Olink Target 96 Immune Response, Olink Target 96 Cell Regulation;Tissue enhanced: tongue
Q07011;TNFRSF9;Tumor necrosis factor receptor superfamily member 9;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue
Q13241;KLRD1;Natural killer cells antigen CD94;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enhanced: lymphoid tissue
Q14213;EBI3;Interleukin-27 subunit beta;Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 48 Cytokine;Tissue enriched: placenta
Q14790;CASP8;Caspase-8;Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow
Q14956;GPNMB;Transmembrane glycoprotein NMB;Olink Explore Cardiometabolic, Olink Target 96 Oncology II, Olink Target 96 Neuro Exploratory;Tissue enhanced: skin 1
Q15116;PDCD1;Programmed cell death protein 1;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage;Tissue enhanced: lymphoid tissue
Q15389;ANGPT1;Angiopoietin-1;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: seminal vesicle
Q16552;IL17A;Interleukin-17A;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue
Q16790;CA9;Carbonic anhydrase 9;Olink Explore Oncology, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enriched: stomach 1
Q29980;MICB;MHC class I polypeptide-related sequence B;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
Q29983;MICA;MHC class I polypeptide-related sequence A;Olink Explore Inflammation, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Low tissue specificity
Q8NEV9;IL27;Interleukin-27 subunit alpha;Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 48 Cytokine;Tissue enriched: liver
Q8WXI7;MUC16;Mucin-16;Olink Explore Oncology, Olink Target 96 Oncology II, Olink Target 96 Immuno-Oncology;Tissue enhanced: cervix, fallopian tube, salivary gland
Q92583;CCL17;C-C motif chemokine 17;Olink Explore Inflammation, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enriched: lymphoid tissue
Q969D9;TSLP;Thymic stromal lymphopoietin;Olink Explore Cardiometabolic, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Tissue enhanced: liver, urinary bladder
Q96D42;HAVCR1;Hepatitis A virus cellular receptor 1;Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 96 Organ Damage;Group enriched: intestine, kidney
Q96PD2;DCBLD2;Discoidin, CUB and LCCL domain-containing protein 2;Olink Explore Oncology, Olink Target 96 Immune Response, Olink Target 96 Cell Regulation;Low tissue specificity
Q96PD4;IL17F;Interleukin-17F;Olink Explore Inflammation, Olink Target 96 Oncology III, Olink Target 48 Cytokine;Tissue enhanced: lymphoid tissue
Q9BQ51;PDCD1LG2;Programmed cell death 1 ligand 2;Olink Explore Oncology, Olink Target 96 Cardiovascular II, Olink Target 96 Immuno-Oncology;Tissue enhanced: lymphoid tissue
Q9BWV1;BOC;Brother of CDO;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II, Olink Target 96 Cell Regulation;Low tissue specificity
Q9BZW8;CD244;Natural killer cell receptor 2B4;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enhanced: bone marrow, lymphoid tissue
Q9GZV9;FGF23;Fibroblast growth factor 23;Olink Explore Oncology, Olink Target 96 Inflammation, Olink Target 96 Cardiovascular II;Group enriched: brain, choroid plexus
Q9NP84;TNFRSF12A;Tumor necrosis factor receptor superfamily member 12A;Olink Explore Oncology, Olink Target 96 Neurology, Olink Target 96 Immuno-Oncology;Low tissue specificity
Q9NZQ7;CD274;Programmed cell death 1 ligand 1;Olink Explore Neurology, Olink Target 96 Inflammation, Olink Target 96 Immuno-Oncology;Tissue enhanced: lung
Q9P0M4;IL17C;Interleukin-17C;Olink Explore Inflammation, Olink Target 96 Inflammation, Olink Target 48 Cytokine;Tissue enhanced: endometrium 1, urinary bladder
Q9UQV4;LAMP3;Lysosome-associated membrane glycoprotein 3;Olink Explore Inflammation, Olink Target 96 Immuno-Oncology, Olink Target 96 Immune Response;Tissue enriched: lung
Q9Y653;ADGRG1;Adhesion G-protein coupled receptor G1;Olink Explore Oncology, Olink Target 96 Immuno-Oncology, Olink Target 96 Organ Damage;Tissue enhanced: thyroid gland
O43186;CRX;Cone-rod homeobox protein;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Tissue enriched: retina
A4D1B5;GSAP;Gamma-secretase-activating protein;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
A6NI73;LILRA5;Leukocyte immunoglobulin-like receptor subfamily A member 5;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: bone marrow, lymphoid tissue
O00161;SNAP23;Synaptosomal-associated protein 23;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
O00175;CCL24;C-C motif chemokine 24;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Group enriched: intestine, lymphoid tissue
O00186;STXBP3;Syntaxin-binding protein 3;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
O00214;LGALS8;Galectin-8;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
O00221;NFKBIE;NF-kappa-B inhibitor epsilon;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: lymphoid tissue
O00233;PSMD9;26S proteasome non-ATPase regulatory subunit 9;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
O00241;SIRPB1;Signal-regulatory protein beta-1;Olink Explore Inflammation, Olink Target 96 Development;Tissue enhanced: bone marrow, lung, lymphoid tissue
O00253;AGRP;Agouti-related protein;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Group enriched: brain, epididymis
O00273;DFFA;DNA fragmentation factor subunit alpha;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
O00308;WWP2;NEDD4-like E3 ubiquitin-protein ligase WWP2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
O00339;MATN2;Matrilin-2;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
O00451;GFRA2;GDNF family receptor alpha-2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: testis, thyroid gland
O00533;CHL1;Neural cell adhesion molecule L1-like protein;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: brain
O00548;DLL1;Delta-like protein 1;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: lymphoid tissue
O00585;CCL21;C-C motif chemokine 21;Olink Explore Inflammation, Olink Target 96 Development;Tissue enriched: lymphoid tissue
O00592;PODXL;Podocalyxin;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: kidney
O00622;CCN1;CCN family member 1;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
O00748;CES2;Cocaine esterase;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enhanced: intestine, liver
O14558;HSPB6;Heat shock protein beta-6;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle, tongue
O14594;NCAN;Neurocan core protein;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: brain
O14662;STX16;Syntaxin-16;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
O14713;ITGB1BP1;Integrin beta-1-binding protein 1;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
O14763;TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B;Olink Explore Neurology, Olink Target 96 Cardiovascular II;Low tissue specificity
O14773;TPP1;Tripeptidyl-peptidase 1;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
O14786;NRP1;Neuropilin-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
O14788;TNFSF11;Tumor necrosis factor ligand superfamily member 11;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: breast, liver, lymphoid tissue
O14793;MSTN;Growth/differentiation factor 8;Olink Explore Cardiometabolic, Olink Target 96 Neurology;Tissue enhanced: skeletal muscle, tongue
O14798;TNFRSF10C;Tumor necrosis factor receptor superfamily member 10C;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: bone marrow, lymphoid tissue
O14828;SCAMP3;Secretory carrier-associated membrane protein 3;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
O14836;TNFRSF13B;Tumor necrosis factor receptor superfamily member 13B;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Group enriched: intestine, lymphoid tissue, skeletal muscle
O14867;BACH1;Transcription regulator protein BACH1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: bone marrow
O14904;WNT9A;Protein Wnt-9a;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Tissue enhanced: skeletal muscle
O14917;PCDH17;Protocadherin-17;Olink Explore Cardiometabolic, Olink Target 96 Cell Regulation;Tissue enhanced: brain, lung, lymphoid tissue
O14944;EREG;Proepiregulin;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: bone marrow
O15031;PLXNB2;Plexin-B2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
O15169;AXIN1;Axin-1;Olink Explore Inflammation, Olink Target 96 Inflammation;Low tissue specificity
O15197;EPHB6;Ephrin type-B receptor 6;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, skin 1
O15232;MATN3;Matrilin-3;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: lung, placenta
